Object,M_1e8Msun,D_A_Mpc,theta_microas,RA_hms,Dec_dms,freq_GHz,flux_Jy,ref
NGC 4026,"2.1
1.8","15.6
13.4","0.14
0.13",11 59 25.2,+ 50 57 42,"5
1875","<0.00012
0.1","[19];
[5]
[38];
[3]"
"SDSS
J115954.33
+201921.1",141,1522 (z),0.09,11 59 54.33,+ 20 19 21.1,325000,0.0006,[47]
Mrk 1310,0.02,84,0.0004,12 01 14.3,- 03 40 41,5,<0.007,[3]
NGC 4036,0.78,19,0.04,12 01 26.7,+ 61 53 45,"15
1800","<0.002
2",[3]
NGC 4041,"<0.064
<0.01","20.9
20","<0.003
<0.0005",12 02 12.2,+ 62 08 14,"5
1765","0.038
21","[19]
[3]"
NGC 4051,"0.002
0.003
0.01","10
10
10","0.0002
0.0003
0.001",12 03 09.6,+ 44 31 53,"20
3000","0.007
24","[33]
[8];
[11]
[3]"
NGC 4088,<0.06,12,<0.005,12 05 34.2,+ 50 32 21,"8.5
230
1800","0.004
<1
33",[3]
UGC 07115,10,88,0.11,12 08 05.5,+ 25 14 14,"8.4
100
350","0.05
0.031
0.051",[3]
NGC 4143,"<1.4
0.83","16.8
15","<0.08
0.06",12 09 36.0,+ 42 32 03,"15
96","0.003-0.006
0.007","[19]
[3]"
NGC 4151,"0.65
0.1",20,"0.03
0.005",12 10 32.6,+ 39 24 21,"20
100
1800","0.04
0.014
3","[38];
[3]
[33]"
NGC 4150,<0.009,13,<0.0007,12 10 33.6,+ 30 24 06,"15
1900","<0.001
1.7",[3]
QSO 1210+330,10,1662 (z),0.006,12 13 03.8,+32 47 37,8.4,0.06-0.1,[16]
"PG
1211+143","1.5
0.4","315 (z)
315","0.005
0.001",12 14 17.7,+ 14 03 13,1500,<0.4,[33]
NGC 4203,"<0.38
0.66","16
14","<0.02
0.003",12 15 05.0,+ 33 11 50,"22
43
96
1900","0.009
0.01
0.015
2.7","[19]
[3]"
"NGC 4212
NGC 4208",<0.01,3.2,<0.003,12 15 39.3,+ 13 54 05,"11
3000","0.004
17",[3]
NGC 4244,<0.005 (0),4.4,<0.001,12 17 29.6,+ 37 48 26,"1.4
1800","0.02
4.8",[3]
NGC 4245,<0.15,15,<0.01,12 17 36.8,+ 29 36 29,"2.3
3000","0
2.4",[3]
Mrk 0202,0.01,90,0.0001,12 17 55.0,+ 58 39 35,138000,0.01,[3]
NGC 4253,0.06,55,0.001,12 18 26.5,+ 29 48 46,"20
3000","0.005
47",[3]
"NGC 4258
M 106","0.38
0.38","7.2
7.3","0.05
0.05",12 18 57.620,+ 47 18 13.39,"15
100
350","0.002-0.003
0.01
3.4","[19];
[5]
[38];
[3]"
NGC 4261,"5.5
5.3","33.4
32.4","0.16
0.16",12 19 23.22,+ 05 49 29.69,"23
41
94-100
350","2.4-2.8
1.9-2.0
1.5-0.3
0.18","[19];
[5]
[38];
[3]"
NGC 4278,0.91,15,0.06,12 20 06.8,+ 29 16 51,"15
43
100
220
350
670","0.077-0.090
0.018
0.216
0.050
0.050
<0.054",[3]
NGC 4291,"3.2
9.2
9.8","25
25
26.6","0.13
0.36
0.36",12 20 18.2,+ 75 22 15,"1.4
1700","0.0005
<0.36","[19]
[5]
[38];
[3]"
"NGC 4303
M 61",0.03,15.5,0.002,12 21 54.9,+ 04 28 25,"23
359
670","1
0.7
4.6",[3]
NGC 4314,<0.08,16,<0.005,12 22 31.8,+ 29 53 45,"15
3000","<0.001
7.1",[3]
